date,beta,close,volume,open
2022-03-01,1.73,21.87,50400000.0,22.56
2022-02-28,1.73,22.84,84000000.0,21.43
2022-02-25,1.73,20.94,56990000.0,21.33
2022-02-24,1.73,21.22,77200000.0,18.5
2022-02-23,1.73,20.46,49470000.0,22.02
2022-02-22,1.73,21.77,56040000.0,22.36
2022-02-18,1.73,23.21,52110000.0,24.78
2022-02-17,1.73,24.72,34540000.0,25.24
2022-02-16,1.73,25.61,32630000.000000004,25.4
2022-02-15,1.73,25.79,47220000.0,24.31
2022-02-14,1.73,23.79,41440000.0,23.76
2022-02-11,1.73,24.1,47870000.0,24.99
2022-02-10,1.73,25.35,54340000.0,25.05
2022-02-09,1.73,26.1,56550000.0,25.447
2022-02-08,1.73,24.69,42610000.0,23.99
2022-02-07,1.73,23.99,39660000.0,23.78
2022-02-04,1.73,23.96,45770000.0,23.46
2022-02-03,1.73,23.13,55360000.0,22.96
2022-02-02,1.73,23.76,60480000.0,24.89
2022-02-01,1.73,24.84,81990000.0,24.89
2022-01-31,1.73,24.51,96030000.0,21.73
2022-01-28,1.73,20.9,96700000.0,20.66
2022-01-27,1.73,21.11,78290000.0,22.8
2022-01-26,1.73,22.66,72130000.0,24.6
2022-01-25,1.73,23.79,53050000.0,24.16
2022-01-24,1.73,24.87,94330000.0,25.73
2022-01-21,1.73,27.35,60210000.0,28.98
2022-01-20,1.73,29.13,45220000.0,29.46
2022-01-19,1.73,28.63,34010000.0,29.72
2022-01-18,1.73,29.61,33360000.0,30.03
2022-01-14,1.73,30.95,34860000.0,30.28
2022-01-13,1.73,30.48,35400000.0,31.68
2022-01-12,1.73,31.68,54270000.0,31.2
2022-01-11,1.73,30.02,41480000.0,28.85
2022-01-10,1.73,28.91,44830000.0,29.0
2022-01-07,1.73,29.3,40780000.0,29.45
2022-01-06,1.73,29.31,48720000.0,30.01
2022-01-05,1.73,29.88,42440000.0,30.97
2022-01-04,1.73,31.58,47870000.0,33.35
2022-01-03,1.73,33.47,64410000.0,33.52
2021-12-31,1.73,31.68,67570000.0,32.04
2021-12-30,1.73,32.42,137250000.0,27.89
2021-12-29,1.73,28.25,51170000.0,29.555
2021-12-28,1.73,29.63,28810000.0,29.88
2021-12-27,1.73,29.96,36080000.0,30.39
2021-12-23,1.73,30.52,38380000.0,29.61
2021-12-22,1.73,29.85,38370000.0,29.56
2021-12-21,1.73,30.16,73650000.0,28.73
2021-12-20,1.73,28.16,56950000.0,29.45
2021-12-17,1.73,30.0,54540000.0,29.53
2021-12-16,1.73,30.07,42740000.0,31.05
2021-12-15,1.73,30.79,80800000.0,31.5
2021-12-14,1.73,32.3,46000000.0,32.23
2021-12-13,1.73,33.66,31860000.0,33.68
2021-12-10,1.73,34.26,32200000.000000004,33.9
2021-12-09,1.73,34.05,36270000.0,34.875
2021-12-08,1.73,35.05,48880000.0,33.82
2021-12-07,1.73,33.12,51770000.0,34.44
2021-12-06,1.73,32.34,70040000.0,32.35
2021-12-03,1.73,32.15,106370000.0,34.58
2021-12-02,1.73,36.2,85260000.0,38.832
2021-12-01,1.73,38.31,48130000.0,40.41
2021-11-30,1.73,39.13,47970000.0,40.37
2021-11-29,1.73,40.46,35110000.0,40.85
2021-11-26,1.73,39.99,30470000.0,39.4
2021-11-24,1.73,41.42,33470000.0,41.7
2021-11-23,1.73,42.04,55090000.0,41.5
2021-11-22,1.73,41.49,70990000.0,40.42
2021-11-19,1.73,38.66,30070000.0,38.59
2021-11-18,1.73,38.41,42260000.0,39.0
2021-11-17,1.73,39.67,35830000.0,40.57
2021-11-16,1.73,40.67,37100000.0,40.89
2021-11-15,1.73,40.57,47570000.0,42.6
2021-11-12,1.73,42.67,34740000.0,42.69
2021-11-11,1.73,42.2,39930000.0,40.89
2021-11-10,1.73,39.55,48510000.0,40.89
2021-11-09,1.73,40.64,49160000.0,43.49
2021-11-08,1.73,43.2,38490000.0,42.65
2021-11-05,1.73,42.29,33049999.999999996,43.52
2021-11-04,1.73,43.12,53630000.0,42.76
2021-11-03,1.73,41.5,34200000.0,41.98
2021-11-02,1.73,41.3,46240000.0,40.47
2021-11-01,1.73,40.84,53060000.0,38.11
2021-10-29,1.73,39.41,33420000.0,40.25
2021-10-28,1.73,40.79,32770000.000000004,39.53
2021-10-27,1.73,39.31,28750000.0,40.9
2021-10-26,1.73,40.47,55880000.0,41.29
