date,open,close,volume,beta
2013-07-25,196.3,197.22,3010000.0,0.62
2013-07-24,195.95,196.61,2960000.0,0.62
2013-07-23,194.21,194.98,2860000.0,0.62
2013-07-22,193.4,194.09,3400000.0,0.62
2013-07-19,197.91,193.54,7000000.0,0.62
2013-07-18,198.27,197.99,8390000.0,0.62
2013-07-17,194.72,194.55,6870000.0,0.62
2013-07-16,194.04,193.85,3750000.0,0.62
2013-07-15,192.42,194.0,5680000.0,0.62
2013-07-12,193.07,192.07,4500000.0,0.62
2013-07-11,193.78,192.8,4179999.9999999995,0.62
2013-07-10,191.51,192.25,3890000.0,0.62
2013-07-09,191.88,191.3,5200000.0,0.62
2013-07-08,195.6,194.98,2950000.0,0.62
2013-07-05,194.49,194.93,2410000.0,0.62
2013-07-03,190.98,193.25,1880000.0,0.62
2013-07-02,190.78,191.5,3660000.0,0.62
2013-07-01,192.15,191.28,4440000.0,0.62
2013-06-28,191.73,191.11,10060000.0,0.62
2013-06-27,196.05,195.65,3520000.0,0.62
2013-06-26,195.97,194.86,3320000.0,0.62
2013-06-25,195.31,194.98,3850000.0,0.62
2013-06-24,193.99,193.54,4360000.0,0.62
2013-06-21,198.5,195.46,8920000.0,0.62
2013-06-20,200.67,197.35,4520000.0,0.62
2013-06-19,204.44,201.94,2850000.0,0.62
2013-06-18,203.02,204.87,3280000.0,0.62
2013-06-17,203.44,203.04,3220000.0,0.62
2013-06-14,203.97,202.2,2800000.0,0.62
2013-06-13,201.01,203.77,2900000.0,0.62
2013-06-12,204.59,201.2,3410000.0,0.62
2013-06-11,203.17,203.98,2810000.0,0.62
2013-06-10,206.97,205.02,2650000.0,0.62
2013-06-07,204.85,206.35,2950000.0,0.62
2013-06-06,203.0,203.8,3680000.0,0.62
2013-06-05,205.16,202.74,4220000.0,0.62
2013-06-04,208.6,206.19,3600000.0,0.62
2013-06-03,208.25,208.95,3320000.0,0.62
2013-05-31,208.59,208.02,4950000.0,0.62
2013-05-30,206.97,209.36,4400000.0,0.62
2013-05-29,206.22,207.92,3440000.0,0.62
2013-05-28,207.44,207.78,4010000.0,0.62
2013-05-24,204.69,205.72,3300000.0,0.62
2013-05-23,205.48,206.16,5180000.0,0.62
2013-05-22,208.5,206.99,5190000.0,0.62
2013-05-21,207.24,208.65,2980000.0,0.62
2013-05-20,208.02,207.6,3610000.0,0.62
2013-05-17,205.25,208.44,5700000.0,0.62
2013-05-16,204.0,204.69,4510000.0,0.62
2013-05-15,202.25,203.32,4030000.0000000005,0.62
2013-05-14,202.09,203.21,3700000.0,0.62
2013-05-13,204.18,202.47,3650000.0,0.62
2013-05-10,203.37,204.47,3280000.0,0.62
2013-05-09,204.69,203.24,3540000.0,0.62
2013-05-08,202.94,204.82,3600000.0,0.62
2013-05-07,202.81,203.63,3450000.0,0.62
2013-05-06,203.79,202.78,4830000.0,0.62
2013-05-03,203.94,204.51,4490000.0,0.62
2013-05-02,200.12,202.39,3950000.0,0.62
2013-05-01,201.87,199.63,4900000.0,0.62
2013-04-30,199.13,202.54,7540000.0,0.62
2013-04-29,194.78,199.15,5940000.0,0.62
2013-04-26,194.16,194.31,3490000.0,0.62
2013-04-25,192.69,193.95,4650000.0,0.62
2013-04-24,192.16,191.71,3690000.0,0.62
2013-04-23,189.27,191.61,6300000.0,0.62
2013-04-22,191.15,187.83,9850000.0,0.62
2013-04-19,195.74,190.0,18850000.0,0.62
2013-04-18,210.11,207.15,6500000.0,0.62
2013-04-17,210.53,209.67,3270000.0,0.62
2013-04-16,210.84,212.0,2860000.0,0.62
2013-04-15,210.44,209.26,4220000.0,0.62
2013-04-12,210.79,211.38,3170000.0,0.62
2013-04-11,211.5,212.92,3660000.0,0.62
2013-04-10,211.86,212.0,3520000.0,0.62
